text,nic_code,nic_label,division
electronic goods shop,47420,Retail sale of audio and video equipment,Trade
i sell we sell electronics at home,47420,Retail sale of audio and video equipment,Trade
we specialize in jewellery manufacturing unit as a home business,32111,Manufacture of jewellery of gold silver,Manufacturing
plastic product manufacturing for domestic use,22201,Manufacture of semi-finished plastic products,Manufacturing
i am doing dawai ki dukan for domestic use,47721,Retail sale of pharmaceuticals,Trade
manufacturingorganic rice cultivation at home,1121,Organic farming of basmati rice,Agriculture
we are into we teach dance and music as a home business,85420,Cultural education,Education
we specialize in pest control services unit,81299,Other building and industrial cleaning,Services
we specialize in medicine manufacturing allopathic as micro enterprise,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
servicewe make floor cleaning liquid business,20212,Manufacture of disinfectants,Manufacturing
our business is i do fishing in the sea since many years,3111,Fishing in ocean and coastal waters,Agriculture
our business is tv and electronics repair for local market,95210,Repair of consumer electronics,Services
Growingbicycle manufacturing as micro enterprise,30921,Manufacture of bicycles,Manufacturing
makan banane ka kaam at home,41001,Construction of buildings,Construction
tradingkitab ki dukan business,47613,Retail sale of stationery,Trade
servicepapad making unit since many years,10796,Manufacture of papads and appalam,Manufacturing
servicewe develop software for local market,62011,Writing and modifying computer programs,IT Services
i am working in we make knives and blades near me,25931,Manufacture of cutlery,Manufacturing
the company is engaged in we have mango trees and sell fruit,1221,Growing of mangoes,Agriculture
i sell private tuitions since many years,85491,Academic tutoring services,Education
sellingtractor manufacturing for domestic use,28211,Manufacture of tractors for agriculture,Manufacturing
tradingplywood board making near me,16211,Manufacture of plywood and veneer,Manufacturing
sellingwe do catering for events,56210,Event catering,Hospitality
we have a sanitary and plumbing work,43221,Installation of plumbing,Construction
tradingdawai ki dukan,47721,Retail sale of pharmaceuticals,Trade
we do tractor manufacturing for local market,28211,Manufacture of tractors for agriculture,Manufacturing
i run a smartphone manufacturing unit as a home business,26305,Manufacture of pagers cellular phones,Manufacturing
we are manufacturers of smartphone manufacturing unit on small scale,26305,Manufacture of pagers cellular phones,Manufacturing
we are into rice processing plant for domestic use,10612,Rice milling,Manufacturing
business activity: we do catering for events for local market,56210,Event catering,Hospitality
business activity: cycle repair shop,95291,Repair of bicycles,Services
Growingwe make perfumes and fragrances at home,20234,Manufacture of perfumes,Manufacturing
i make leather bags and purses,15121,Manufacture of travel goods and bags,Manufacturing
we make handmade carpets in my village,13931,Manufacture of carpets of cotton,Manufacturing
manufacturingmilk production from cows,1412,Production of milk from cows or buffaloes,Agriculture
i am working in we manufacture soaps at home,20231,Manufacture of soap all forms,Manufacturing
servicehousekeeping and cleaning,81210,General cleaning of buildings,Services
tradingwe run a laundry unit,96010,Washing and dry cleaning of textiles,Services
the company is engaged in we operate auto rickshaw for export,49224,Taxi operation,Transport
Growingsabzi mandi stall near me,47212,Retail sale of fresh fruit and vegetables,Trade
i am working in milk production from cows as msme,1412,Production of milk from cows or buffaloes,Agriculture
repairingcement manufacturing for domestic use,23941,Manufacture of clinkers and cement,Manufacturing
my work involves we do pest control at home,81299,Other building and industrial cleaning,Services
i own a fashion designer as micro enterprise,74101,Fashion design,Professional
business activity: tin box can making,25992,Manufacture of containers tins and cans,Manufacturing
i grow vegetables,1131,Growing of vegetables,Agriculture
we deal in garment stitching,14101,Manufacture of textile garments,Manufacturing
we provide imitation artificial jewellery for export,32120,Manufacture of imitation jewellery,Manufacturing
servicewe provide warehousing as micro enterprise,52102,Warehousing non-refrigerated,Transport
Growingvegetable fruit shop in india,47212,Retail sale of fresh fruit and vegetables,Trade
servicewe make bricks,23921,Manufacture of bricks,Manufacturing
i do fish farming business,3221,Fish farming in freshwater,Agriculture
i own a logo and design services since many years,74103,Services of graphic designers,Professional
we are manufacturers of switch socket manufacturing unit,27331,Manufacture of switch and socket,Manufacturing
we specialize in cleaning services unit,81210,General cleaning of buildings,Services
our business is offset printing unit as msme,18112,Printing of books and magazines,Manufacturing
solar energy plant for local market,35105,Electric power generation using solar energy,Energy
sellingwe do graphic design work as msme,74103,Services of graphic designers,Professional
we do ladies beauty parlour near me,96020,Hairdressing and other beauty treatment,Services
we are into steel manufacturing in my village,24103,Manufacture of steel,Manufacturing
Growingpottery making as micro enterprise,23931,Manufacture of articles of porcelain and pottery,Manufacturing
business activity: leather bag making,15121,Manufacture of travel goods and bags,Manufacturing
tradingelectrical switch making as msme,27331,Manufacture of switch and socket,Manufacturing
we deal in aerated drinks manufacturing as micro enterprise,11041,Manufacture of aerated drinks,Manufacturing
we specialize in ayurvedic medicine making for export,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
my small business is it services company on small scale,62020,Computer consultancy,IT Services
providingmango orchard,1221,Growing of mangoes,Agriculture
i do i grow rice paddy,1121,Organic farming of basmati rice,Agriculture
call centre bpo,82200,Activities of call centres,IT Services
i am doing chakki flour mill business as msme,10611,Flour milling,Manufacturing
i run a brick manufacturing,23921,Manufacture of bricks,Manufacturing
providingwe cultivate wheat for local market,1111,Growing of wheat,Agriculture
i own a chartered accountant firm on small scale,69201,Accounting and auditing activities,Finance
manufacturingwe grow onion,1133,Growing of onion,Agriculture
sellingwe provide architectural services unit,71100,Architectural and engineering activities,Professional
servicehousekeeping and cleaning as a home business,81210,General cleaning of buildings,Services
sellingheera ghasai ka kaam,32112,Working of diamonds and precious stones,Manufacturing
business activity: cotton cultivation in vidarbha on small scale,1161,Growing of cotton,Agriculture
we make jaggery gur for export,10722,Manufacture of gur from sugarcane,Manufacturing
my small business is hardware shop on small scale,47522,Retail sale of hardware,Trade
goods transport by truck,49231,Motorised road freight transport,Transport
makingproperty buying and selling business,68200,Real estate activities on fee basis,Real Estate
servicewe sell books and stationery as micro enterprise,47613,Retail sale of stationery,Trade
i am a we run a gas distributor in my village,35202,Distribution and sale of gaseous fuels,Energy
heera ghasai ka kaam,32112,Working of diamonds and precious stones,Manufacturing
i am working in we grow bananas,1222,Growing of bananas,Agriculture
tradingleafy vegetable cultivation for export,1131,Growing of vegetables,Agriculture
we have a agarbatti banane ka kaam,20238,Manufacture of agarbatti,Manufacturing
tradingmobile phone manufacturing near me,26305,Manufacture of pagers cellular phones,Manufacturing
servicewe provide warehousing unit,52102,Warehousing non-refrigerated,Transport
tradingcivil engineer consultant since many years,71100,Architectural and engineering activities,Professional
my small business is tiffin catering service on small scale,56291,Activities of food service contractors,Hospitality
my small business is we make led lights and bulbs,27400,Manufacture of electric lighting equipment,Manufacturing
manufacturingclothing shop for export,47711,Retail sale of readymade garments,Trade
tradinghardware store at home,47522,Retail sale of hardware,Trade
sellingladies tailor for local market,14105,Custom tailoring,Manufacturing
book stationery shop unit,47613,Retail sale of stationery,Trade
meal delivery catering as micro enterprise,56291,Activities of food service contractors,Hospitality
i am working in sugar manufacturing for export,10721,Manufacture of sugar from sugarcane,Manufacturing
manufacturingsugarcane sugar factory as msme,10721,Manufacture of sugar from sugarcane,Manufacturing
i run a xerox and printing shop for export,82191,Photocopying and duplicating services,Services
i sell pickle making for domestic use,10306,Manufacture of pickles and chutney,Manufacturing
it services company for domestic use,62020,Computer consultancy,IT Services
makingevent management at home,82300,Organization of conventions and trade shows,Services
share broker firm in india,66120,Security and commodity contracts brokerage,Finance
repairingspice grinding and processing,10795,Grinding and processing of spices,Manufacturing
my small business is goods transport by truck as a home business,49231,Motorised road freight transport,Transport
repairingwe make jam jelly and sauce on small scale,10305,Manufacture of sauces jams and jellies,Manufacturing
our business is sports goods manufacturing for domestic use,32300,Manufacture of sports goods,Manufacturing
tradingroad and bridge construction since many years,42101,Construction of highways and roads,Construction
the company is engaged in dry cleaning service for domestic use,96010,Washing and dry cleaning of textiles,Services
business activity: tea packing and blending business for local market,10791,Processing and blending of tea,Manufacturing
wheat grower and supplier,1111,Growing of wheat,Agriculture
tradingdhobighat laundry at home,96010,Washing and dry cleaning of textiles,Services
my small business is we make homeopathy medicines,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
business activity: clay pottery business,23931,Manufacture of articles of porcelain and pottery,Manufacturing
i grow ginger on small scale,1281,Growing of ginger,Agriculture
i am a we do interior decoration for export,43303,Interior painting and decorating,Construction
sellingiti training institute near me,85221,Technical and vocational education,Education
providingliquid soap manufacturing unit,20231,Manufacture of soap all forms,Manufacturing
sellingjam jelly making at home,10305,Manufacture of sauces jams and jellies,Manufacturing
makingtaxi cab service as msme,49224,Taxi operation,Transport
our business is we run an office canteen for local market,56292,Operation of canteens,Hospitality
cardboard box making in my village,17023,Manufacture of card board boxes,Manufacturing
repairingbeauty parlour salon since many years,96020,Hairdressing and other beauty treatment,Services
providingwe make candles and wax products business,20238,Manufacture of agarbatti and similar products,Manufacturing
our business is dhaba food stall,56101,Restaurants,Hospitality
Growingladies beauty parlour,96020,Hairdressing and other beauty treatment,Services
we are into we sell mobile phones,47414,Retail sale of telecommunication equipment,Trade
tradingwe run taxis near me,49224,Taxi operation,Transport
the company is engaged in plastic chair table making at home,22202,Manufacture of plastic household articles,Manufacturing
we deal in we run a driving school as msme,85223,Professional motor driving school,Education
i run a we are wheat farmers as micro enterprise,1111,Growing of wheat,Agriculture
civil construction work,41001,Construction of buildings,Construction
we specialize in we grow tea in india,1271,Growing of tea,Agriculture
we have a two wheeler manufacturing as micro enterprise,30911,Manufacture of motorcycles and scooters,Manufacturing
tradingwe make jaggery gur at home,10722,Manufacture of gur from sugarcane,Manufacturing
serviceplywood manufacturing in india,16211,Manufacture of plywood and veneer,Manufacturing
my work involves we run a printing press,18112,Printing of books and magazines,Manufacturing
we deal in we provide manpower,78100,Activities of employment placement agencies,Services
i own a sports goods manufacturing for local market,32300,Manufacture of sports goods,Manufacturing
makingbook printing business for domestic use,18112,Printing of books and magazines,Manufacturing
my work involves bakery products as msme,10712,Manufacture of biscuits and cakes,Manufacturing
Growingadvertising agency,73100,Advertising,Professional
we are into electronic goods shop as micro enterprise,47420,Retail sale of audio and video equipment,Trade
i run a agarbatti production unit,20238,Manufacture of agarbatti,Manufacturing
we specialize in wheat flour milling for export,10611,Flour milling,Manufacturing
i am doing event catering near me,56210,Event catering,Hospitality
bus transport service in india,49221,Long distance bus services,Transport
i own a we run a tea shop in my village,56302,Tea and coffee shops,Hospitality
we specialize in i make ghee,10504,Manufacture of cream butter cheese ghee,Manufacturing
business activity: packaging printing since many years,18119,Printing activities,Manufacturing
we are manufacturers of cattle feed manufacturing for export,10801,Manufacture of cattle feed,Manufacturing
our business is i grow vegetables as msme,1131,Growing of vegetables,Agriculture
we are manufacturers of petrol pump for local market,47300,Retail sale of automotive fuel,Trade
farming wheat and selling as msme,1111,Growing of wheat,Agriculture
fruit juice manufacturing,10304,Manufacture of fruit juices,Manufacturing
i sell brassware manufacturing near me,25994,Manufacture of metal household articles,Manufacturing
we have a papad and appalam production as msme,10796,Manufacture of papads and appalam,Manufacturing
our unit is involved in chartered accountant firm,69201,Accounting and auditing activities,Finance
pest control services as micro enterprise,81299,Other building and industrial cleaning,Services
repairingbread bakery unit for local market,10711,Manufacture of bread,Manufacturing
business activity: we quarry granite as a home business,8102,Quarrying of granite,Mining
animal feed production,10801,Manufacture of cattle feed,Manufacturing
mithai banane ka kaam on small scale,10734,Manufacture of sweetmeats,Manufacturing
i am a pashu chikitsa as msme,75000,Veterinary activities,Professional
servicebike repair shop near me,45403,Maintenance of motorcycles and scooters,Trade
Growingcosmetics making,20237,Manufacture of cosmetics and toileteries,Manufacturing
we run a coaching class in my village,85491,Academic tutoring services,Education
i do we produce eggs and sell in my village,1462,Production of eggs,Agriculture
i do website development in my village,62012,Web page designing,IT Services
providingblood test lab at home,86905,Activities of diagnostic laboratories,Healthcare
makingwe manufacture wood furniture,31001,Manufacture of furniture of wood,Manufacturing
we are manufacturers of gas agency cylinder since many years,35202,Distribution and sale of gaseous fuels,Energy
we are manufacturers of nai ki dukan since many years,96020,Hairdressing and other beauty treatment,Services
providingsugar manufacturing unit,10721,Manufacture of sugar from sugarcane,Manufacturing
i am doing dairy farming business,1412,Production of milk from cows or buffaloes,Agriculture
sellingelectric fan manufacturing as msme,27503,Manufacture of electric fans,Manufacturing
sellingcotton yarn spinning for local market,13111,Preparation and spinning of cotton fiber,Manufacturing
i run a grocery shop,47211,Retail sale of cereals and pulses,Trade
electronic component making at home,26101,Manufacture of electronic components,Manufacturing
makinggeneral store business,47190,Other retail sale in non-specialized stores,Trade
we have a data entry operator for export,63114,Providing data entry services,IT Services
my small business is we make knives and blades,25931,Manufacture of cutlery,Manufacturing
sellingsolar energy plant as micro enterprise,35105,Electric power generation using solar energy,Energy
makingapp development company,62011,Writing and modifying computer programs,IT Services
tradingkanda farming since many years,1133,Growing of onion,Agriculture
i am working in we are a cable operator,61103,Activities of cable operators,IT Services
event catering as a home business,56210,Event catering,Hospitality
repairingmatchstick manufacturing as micro enterprise,20291,Manufacture of matches,Manufacturing
we provide medicine pharmacy,47721,Retail sale of pharmaceuticals,Trade
the company is engaged in jute cultivation in west bengal as a home business,1162,Growing of jute,Agriculture
we do custom software development,62011,Writing and modifying computer programs,IT Services
i keep bees and sell honey business,1492,Bee-keeping and production of honey,Agriculture
i am doing veterinary doctor unit,75000,Veterinary activities,Professional
Growingplywood manufacturing,16211,Manufacture of plywood and veneer,Manufacturing
i run a offset printing unit for local market,18112,Printing of books and magazines,Manufacturing
i am working in potato and sweet potato farming as msme,1135,Growing of potatoes and tubers,Agriculture
i am a goods transport by truck for local market,49231,Motorised road freight transport,Transport
Growinghoney production business as msme,1492,Bee-keeping and production of honey,Agriculture
our business is we produce eggs and sell near me,1462,Production of eggs,Agriculture
makingsurgical cotton bandage making,21006,Manufacture of medical wadding gauze bandages,Manufacturing
security services company,80100,Private security activities,Services
i am working in private tuitions for export,85491,Academic tutoring services,Education
we make paper carry bags for local market,17024,Manufacture of sacks and bags of paper,Manufacturing
my small business is hosiery manufacturing,13913,Manufacture of knitted synthetic fabrics,Manufacturing
we have a we make fashion jewellery,32120,Manufacture of imitation jewellery,Manufacturing
we deal in we sell mobile phones in india,47414,Retail sale of telecommunication equipment,Trade
we specialize in we do share trading,66120,Security and commodity contracts brokerage,Finance
the company is engaged in i make agarbatti as msme,20238,Manufacture of agarbatti,Manufacturing
sellingsweet shop making mithai near me,10734,Manufacture of sweetmeats,Manufacturing
i am doing mixed spice cultivation for domestic use,1284,Growing of spices,Agriculture
i do sugarcane crop production,1140,Growing of sugar cane,Agriculture
makingchartered accountant firm as msme,69201,Accounting and auditing activities,Finance
servicewe run a chit fund,64910,Financial leasing,Finance
sellingvegetable fruit shop as a home business,47212,Retail sale of fresh fruit and vegetables,Trade
i am a homeopathic doctor clinic as a home business,86903,Activities of homeopaths,Healthcare
we sell furniture,47591,Retail sale of household furniture,Trade
i own a we sell fresh juice,56303,Fruit juice bars,Hospitality
we have a rice processing plant business,10612,Rice milling,Manufacturing
masala powder making on small scale,10795,Grinding and processing of spices,Manufacturing
we specialize in carpenter furniture shop for domestic use,31001,Manufacture of furniture of wood,Manufacturing
we do mixed spice cultivation on small scale,1284,Growing of spices,Agriculture
our unit is involved in we run a tea shop,56302,Tea and coffee shops,Hospitality
my work involves we sell electronics business,47420,Retail sale of audio and video equipment,Trade
makingnai ki dukan as msme,96020,Hairdressing and other beauty treatment,Services
i am doing cleaning services in india,81210,General cleaning of buildings,Services
my work involves we do photography business,74201,Commercial photograph production,Professional
we run a chit fund unit,64910,Financial leasing,Finance
tradingi make leather bags and purses for export,15121,Manufacture of travel goods and bags,Manufacturing
the company is engaged in apiary and honey selling since many years,1492,Bee-keeping and production of honey,Agriculture
providingbutter and paneer making in india,10504,Manufacture of cream butter cheese ghee,Manufacturing
Growingwe make fruit juice business,10304,Manufacture of fruit juices,Manufacturing
makingi make gold jewellery unit,32111,Manufacture of jewellery of gold silver,Manufacturing
repairingheera ghasai ka kaam as micro enterprise,32112,Working of diamonds and precious stones,Manufacturing
we specialize in kiryana shop for domestic use,47211,Retail sale of cereals and pulses,Trade
repairingcement manufacturing for export,23941,Manufacture of clinkers and cement,Manufacturing
i sell parcel delivery business unit,53200,Courier activities,Transport
tradingchit fund on small scale,64910,Financial leasing,Finance
our unit is involved in my field grows wheat every season,1111,Growing of wheat,Agriculture
tradinghalwai making sweets for domestic use,10734,Manufacture of sweetmeats,Manufacturing
we provide carpenter furniture shop since many years,31001,Manufacture of furniture of wood,Manufacturing
our business is i make clothes and garments near me,14101,Manufacture of textile garments,Manufacturing
makinglace and embroidery business for local market,13991,Embroidery work and making of laces,Manufacturing
providingwe manufacture locks,25934,Manufacture of padlocks and locks,Manufacturing
manufacturingwe run a call center at home,82200,Activities of call centres,IT Services
juice manufacturing unit,10304,Manufacture of fruit juices,Manufacturing
makingcanteen mess as msme,56292,Operation of canteens,Hospitality
our business is non basmati paddy farming business,1122,Organic farming of non-basmati rice,Agriculture
servicegoat farming for export,1441,Raising and breeding of sheep and goats,Agriculture
providingwe make washing powder,20233,Manufacture of detergent,Manufacturing
we have a alphonso mango farming for local market,1221,Growing of mangoes,Agriculture
we specialize in i make gold jewellery,32111,Manufacture of jewellery of gold silver,Manufacturing
manufacturingcar spare parts making,29301,Manufacture of motor vehicle parts,Manufacturing
my work involves ayurvedic product manufacturing,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
providingdiamond polishing unit as a home business,32112,Working of diamonds and precious stones,Manufacturing
i own a we have mango trees and sell fruit as a home business,1221,Growing of mangoes,Agriculture
we provide hospital clinic,86100,Hospital activities,Healthcare
serviceplastic product manufacturing as msme,22201,Manufacture of semi-finished plastic products,Manufacturing
Growingelectricity distribution,35109,Collection and distribution of electric energy,Energy
tradingsolar energy plant unit,35105,Electric power generation using solar energy,Energy
business activity: car servicing workshop for export,45200,Maintenance and repair of motor vehicles,Trade
providingkhilona banane ka kaam,32401,Manufacture of dolls and toy animals,Manufacturing
we do we give loans to people for domestic use,64920,Other credit granting,Finance
manufacturingsolar power business business,35105,Electric power generation using solar energy,Energy
providingspinach and cabbage farming as msme,1131,Growing of vegetables,Agriculture
sellingi make gold jewellery for export,32111,Manufacture of jewellery of gold silver,Manufacturing
i am a rice processing plant as a home business,10612,Rice milling,Manufacturing
we grow tea,1271,Growing of tea,Agriculture
the company is engaged in jute products manufacturing business,13942,Manufacture of cordage or rope of jute,Manufacturing
sellingi grow non basmati rice for domestic use,1122,Organic farming of non-basmati rice,Agriculture
we have a paint manufacturing unit,20221,Manufacture of paints and varnishes,Manufacturing
makingcyber cafe at home,63992,Activities of cyber cafe,IT Services
tradingmedicine pharmacy,47721,Retail sale of pharmaceuticals,Trade
hair oil production unit in my village,20236,Manufacture of hair oil and shampoo,Manufacturing
we deal in banana farming since many years,1222,Growing of bananas,Agriculture
we specialize in we sell hardware and tools,47522,Retail sale of hardware,Trade
our unit is involved in mixed spice cultivation for domestic use,1284,Growing of spices,Agriculture
we provide wheat crop production,1111,Growing of wheat,Agriculture
we are into sweet shop making mithai for domestic use,10734,Manufacture of sweetmeats,Manufacturing
sellinglimestone mining at home,8107,Mining of limestone,Mining
tradingwe give loans to people since many years,64920,Other credit granting,Finance
makingagarbatti production unit as a home business,20238,Manufacture of agarbatti,Manufacturing
i own a power loom cotton fabric,13121,Weaving of cotton fabrics,Manufacturing
we provide plastic chair table making for local market,22202,Manufacture of plastic household articles,Manufacturing
i do i am an onion farmer,1133,Growing of onion,Agriculture
sellingjewellery manufacturing unit at home,32111,Manufacture of jewellery of gold silver,Manufacturing
the company is engaged in we make fruit juice,10304,Manufacture of fruit juices,Manufacturing
my work involves achar making unit as msme,10306,Manufacture of pickles and chutney,Manufacturing
we have a jam jelly making,10305,Manufacture of sauces jams and jellies,Manufacturing
i am working in we make knives and blades for domestic use,25931,Manufacture of cutlery,Manufacturing
makingwe are property dealers for domestic use,68200,Real estate activities on fee basis,Real Estate
i am doing placement agency hr as micro enterprise,78100,Activities of employment placement agencies,Services
makinghouse construction contractor at home,41001,Construction of buildings,Construction
business activity: digital marketing agency on small scale,73100,Advertising,Professional
repairingiron and steel plant,24101,Manufacture of pig iron,Manufacturing
providingwe grow bananas business,1222,Growing of bananas,Agriculture
we provide animal doctor clinic unit,75000,Veterinary activities,Professional
Growingwe give loans to people,64920,Other credit granting,Finance
we deal in we do interior decoration at home,43303,Interior painting and decorating,Construction
we are into vehicle repair garage in my village,45200,Maintenance and repair of motor vehicles,Trade
servicechawal chakki for local market,10612,Rice milling,Manufacturing
business activity: khilona banane ka kaam business,32401,Manufacture of dolls and toy animals,Manufacturing
we deal in kapas farming as msme,1161,Growing of cotton,Agriculture
i run a we have a flour grinding unit,10611,Flour milling,Manufacturing
i make soap at home since many years,20231,Manufacture of soap all forms,Manufacturing
we are into wooden furniture unit as a home business,31001,Manufacture of furniture of wood,Manufacturing
we deal in dried fish business for local market,10201,Sun-drying of fish,Manufacturing
tradingi am a tailor as msme,14105,Custom tailoring,Manufacturing
i am working in homemade pickle business in my village,10306,Manufacture of pickles and chutney,Manufacturing
we have a online selling ecommerce,47912,Retail sale via e-commerce,Trade
we have a advocate lawyer since many years,69100,Legal activities,Professional
we are into milk powder making near me,10502,Manufacture of milk powder,Manufacturing
my small business is we run a school as micro enterprise,85211,General school education first stage,Education
we deal in chili farming at home,1282,Growing of chili,Agriculture
we do we make noodles in india,10740,Manufacture of macaroni and noodles,Manufacturing
our business is we raise goats and sheep in india,1441,Raising and breeding of sheep and goats,Agriculture
halwai making sweets,10734,Manufacture of sweetmeats,Manufacturing
internet cafe,63992,Activities of cyber cafe,IT Services
my work involves courier and logistics,53200,Courier activities,Transport
property buying and selling as micro enterprise,68200,Real estate activities on fee basis,Real Estate
my work involves advertising agency near me,73100,Advertising,Professional
my small business is we grow tea near me,1271,Growing of tea,Agriculture
sellingagarbatti banane ka kaam unit,20238,Manufacture of agarbatti,Manufacturing
i am a we are a cable operator,61103,Activities of cable operators,IT Services
we deal in chocolate making business,10732,Manufacture of chocolate,Manufacturing
we do churi banane ka kaam since many years,23106,Manufacture of glass bangles,Manufacturing
i am doing it consulting business,62020,Computer consultancy,IT Services
Growingwe manage events in my village,82300,Organization of conventions and trade shows,Services
we have a we run bus service,49221,Long distance bus services,Transport
cutlery manufacturing,25931,Manufacture of cutlery,Manufacturing
we run a beauty salon,96020,Hairdressing and other beauty treatment,Services
we are manufacturers of plumber for domestic use,43221,Installation of plumbing,Construction
business activity: we do catering for events near me,56210,Event catering,Hospitality
we specialize in solar rooftop installation in my village,35105,Electric power generation using solar energy,Energy
we do parlour and spa for local market,96020,Hairdressing and other beauty treatment,Services
private hospital,86100,Hospital activities,Healthcare
servicewe install solar panels as msme,35105,Electric power generation using solar energy,Energy
share broker firm as a home business,66120,Security and commodity contracts brokerage,Finance
our unit is involved in hardware shop,47522,Retail sale of hardware,Trade
servicefactory canteen as msme,56292,Operation of canteens,Hospitality
our unit is involved in handloom weaving for domestic use,13121,Weaving of cotton fabrics,Manufacturing
i do surgical instrument making for domestic use,32504,Manufacture of bone plates and syringes,Manufacturing
providingroad and bridge construction business,42101,Construction of highways and roads,Construction
our business is hair oil production unit unit,20236,Manufacture of hair oil and shampoo,Manufacturing
we specialize in cycle repair shop as micro enterprise,95291,Repair of bicycles,Services
we make batteries for export,27201,Manufacture of primary cells and batteries,Manufacturing
i sell house construction contractor,41001,Construction of buildings,Construction
we have a we manufacture cosmetics,20237,Manufacture of cosmetics and toileteries,Manufacturing
servicechartered accountant firm unit,69201,Accounting and auditing activities,Finance
sellingonline selling ecommerce,47912,Retail sale via e-commerce,Trade
makingevent catering at home,56210,Event catering,Hospitality
tv and electronics repair as a home business,95210,Repair of consumer electronics,Services
our unit is involved in cotton yarn spinning,13111,Preparation and spinning of cotton fiber,Manufacturing
beauty products manufacturing as a home business,20237,Manufacture of cosmetics and toileteries,Manufacturing
aam bagicha,1221,Growing of mangoes,Agriculture
my work involves dawai ki dukan for domestic use,47721,Retail sale of pharmaceuticals,Trade
manufacturingcustom tailoring shop as a home business,14105,Custom tailoring,Manufacturing
my small business is tomato farming business,1132,Growing of fruit-bearing vegetables,Agriculture
makinglegal services in my village,69100,Legal activities,Professional
makingsecurity guard agency,80100,Private security activities,Services
we do factory canteen,56292,Operation of canteens,Hospitality
i am working in i grow mangoes as msme,1221,Growing of mangoes,Agriculture
repairingi make ghee near me,10504,Manufacture of cream butter cheese ghee,Manufacturing
i do taxi cab service for export,49224,Taxi operation,Transport
providingi make soap at home business,20231,Manufacture of soap all forms,Manufacturing
repairingsabun banane ka kaam since many years,20231,Manufacture of soap all forms,Manufacturing
manufacturingcustom tailoring shop as msme,14105,Custom tailoring,Manufacturing
business activity: sand quarrying at home,8106,Operation of sand or gravel pits,Mining
we specialize in fish farming,3221,Fish farming in freshwater,Agriculture
our unit is involved in metal utensil production,25994,Manufacture of metal household articles,Manufacturing
Growingwe make skimmed milk powder,10502,Manufacture of milk powder,Manufacturing
we are manufacturers of mochi ka kaam as a home business,95230,Repair of footwear and leather goods,Services
tradingpaddy cultivation at home,1121,Organic farming of basmati rice,Agriculture
we do cobbler shoe repair as micro enterprise,95230,Repair of footwear and leather goods,Services
i sell aerated drinks manufacturing in india,11041,Manufacture of aerated drinks,Manufacturing
the company is engaged in digital marketing agency,73100,Advertising,Professional
repairingjuice shop as a home business,56303,Fruit juice bars,Hospitality
we specialize in i am an onion farmer in my village,1133,Growing of onion,Agriculture
i own a coconut farming business,1261,Growing of coconut,Agriculture
we are into two wheeler repair workshop,45403,Maintenance of motorcycles and scooters,Trade
we specialize in we do hand embroidery at home,13991,Embroidery work and making of laces,Manufacturing
tradingwe make homeopathy medicines,21004,Manufacture of homoeopathic pharmaceutical preparations,Manufacturing
Growingphotography studio as micro enterprise,74201,Commercial photograph production,Professional
manufacturingsanitary and plumbing work as a home business,43221,Installation of plumbing,Construction
sellingdairy farming for domestic use,1412,Production of milk from cows or buffaloes,Agriculture
i run a we sell furniture for domestic use,47591,Retail sale of household furniture,Trade
i run a bicycle repair,95291,Repair of bicycles,Services
makingsugarcane sugar factory,10721,Manufacture of sugar from sugarcane,Manufacturing
we grow coffee in coorg,1272,Growing of coffee,Agriculture
we are manufacturers of vermicelli making unit for export,10740,Manufacture of macaroni and noodles,Manufacturing
i am a tv and electronics repair,95210,Repair of consumer electronics,Services
serviceproperty dealer as a home business,68200,Real estate activities on fee basis,Real Estate
we deal in insurance broker for export,66220,Activities of insurance agents and brokers,Finance
we are into paper box and packaging on small scale,17023,Manufacture of card board boxes,Manufacturing
i make agarbatti as msme,20238,Manufacture of agarbatti,Manufacturing
makingmotor driving institute on small scale,85223,Professional motor driving school,Education
we run an ayurvedic centre,86901,Activities of Ayurveda practitioners,Healthcare
providingwe make knives and blades,25931,Manufacture of cutlery,Manufacturing
my work involves meal delivery catering since many years,56291,Activities of food service contractors,Hospitality
dry cleaning laundry at home,96010,Washing and dry cleaning of textiles,Services
servicei make wooden furniture for local market,31001,Manufacture of furniture of wood,Manufacturing
we sell milk from our farm for local market,1412,Production of milk from cows or buffaloes,Agriculture
i make clothes and garments at home,14101,Manufacture of textile garments,Manufacturing
the company is engaged in printing press,18112,Printing of books and magazines,Manufacturing
bread bakery unit as msme,10711,Manufacture of bread,Manufacturing
handmade soap business,20231,Manufacture of soap all forms,Manufacturing
the company is engaged in chappals and sandals making as a home business,15201,Manufacture of leather footwear,Manufacturing
i am doing mineral water plant as micro enterprise,11043,Manufacture of mineral water,Manufacturing
repairingwheat cultivation in punjab as msme,1111,Growing of wheat,Agriculture
i do we are wheat farmers at home,1111,Growing of wheat,Agriculture
fashion designer in india,74101,Fashion design,Professional
sellingproperty dealer,68200,Real estate activities on fee basis,Real Estate
i run a kapas farming on small scale,1161,Growing of cotton,Agriculture
repairingproperty dealer,68200,Real estate activities on fee basis,Real Estate
i am a i grow non basmati rice near me,1122,Organic farming of non-basmati rice,Agriculture
